Apresentamos	v-fin	apresentar
Em	prp	em
O	art	o
dia	n	dia
seguinte	adj	seguinte
a	prp	a
a	art	o
admissão	n	admissão
iniciou	v-fin	iniciar
hipocoagulação	n	hipocoagulação
por	prp	por
a	art	o
presunção	n	presunção
de	prp	de
embolismo	n	embolismo
.	punc	.
De	prp	de
O	art	o
estudo	n	estudo
etiológico	adj	etiológico
de	prp	de
salientar	v-inf	salientar
septo	prp	septo
interauricular	v-inf	interauricular
aneurismático	adj	aneurismático
,	punc	,
com	prp	com
Foramen	prop	foramen
Ovale	prop	ovale
Patente	adv	patente
em	prp	em
o	art	o
ecocardiograma	n	ecocardiograma
transesofágico	adj	transesofágico
.	punc	.
