Mulher	pron-det	mulher
LCR	prop	lcr
com	prp	com
predomínio	n	predomínio
de	prp	de
polimorfonucleares	n	polimorfonuclear
.	punc	.
RMN-CE	prop	rmn-ce
com	prp	com
contraste	n	contraste
sem	prp	sem
alterações	n	alteração
.	punc	.
Foram	v-fin	ser
normais	adv	normais
ou	conj-c	ou
negativos	v-fin	negar
:	punc	:
serologias	n	serologia
para	prp	para
hepatites	n	hepatite
,	punc	,
HSV	prop	hsv
,	punc	,
CMV	prop	cmv
,	punc	,
EBV	prop	ebv
,	punc	,
VDRL	prop	vdrl
,	punc	,
HIV	prop	hiv
,	punc	,
Listeria	prop	listeria
,	punc	,
Hemo	prop	hemo
e	conj-c	e
uroculturas	n	urocultura
,	punc	,
ANAs	prop	anas
e	conj-c	e
ANCAs	prop	ancas
,	punc	,
SACE	prop	sace
,	punc	,
Provas	prop	provas
Tiroideias	prop	tiroideias
,	punc	,
Estudo	n	estudo
de	prp	de
o	art	o
Complemento	prop	complemento
.	punc	.
O	art	o
electromiograma	n	electromiograma
também	adv	também
não	adv	não
revelou	v-fin	revelar
alterações	n	alteração
.	punc	.
Assistiu	v-fin	assistir
se	pron-pers	se
a	prp	a
ligeira	n	ligeira
melhoria	adj	melhoria
clínica	n	clínica
com	prp	com
terapêutica	n	terapêutica
que	pron-indp	que
consistiu	v-fin	consistir
em	prp	em
ceftriaxone	n	ceftriaxone
,	punc	,
ampicilina	n	ampicilina
,	punc	,
dexametasona	n	dexametasona
e	conj-c	e
,	punc	,
posteriormente	adv	posteriormente
,	punc	,
imunoglobulina	v-fin	imunir
endovenosa	adj	endovenoso
.	punc	.
A	art	o
doente	adj	doente
manteve	v-fin	manter
a	art	o
corticoterapia	n	corticoterapia
em	prp	em
doses	n	dose
decrescentes	adj	decrescente
.	punc	.
Entretanto	adv	entretanto
a	art	o
chegada	n	chegada
de	prp	de
resultados	n	resultado
(	punc	(
Western-Blot	prop	western-blot
e	conj-c	e
ELISA	prop	elisa
)	punc	)
positivos	adj	positivo
para	prp	para
Borrelia	prop	borrelia
,	punc	,
levou	v-fin	levar
a	prp	a
o	art	o
início	n	início
de	prp	de
terapêutica	n	terapêutica
com	prp	com
ceftriaxone	n	ceftriaxone
,	punc	,
em	prp	em
a	art	o
dose	n	dose
de	prp	de
2	num	2
g	n	g
por	prp	por
dia	n	dia
durante	prp	durante
4	num	4
semanas	n	semana
,	punc	,
com	prp	com
melhoria	n	melhoria
total	adj	total
de	prp	de
o	art	o
quadro	n	quadro
neurológico	adj	neurológico
e	conj-c	e
parcial	adj	parcial
de	prp	de
a	art	o
uveíte	n	uveíte
.	punc	.
